Dates,"Tableau Software, Inc. (NYSE:DATA) - Share Pricing"
Mar-27-2017,48.19
Mar-28-2017,48.25
Mar-29-2017,48.83
Mar-30-2017,48.96
Mar-31-2017,49.55
Apr-03-2017,49.71
Apr-04-2017,49.99
Apr-05-2017,49.86
Apr-06-2017,50.83
Apr-07-2017,50.66
Apr-10-2017,50.48
Apr-11-2017,50.99
Apr-12-2017,50.86
Apr-13-2017,50.60
Apr-17-2017,51.07
Apr-18-2017,52.52
Apr-19-2017,53.27
Apr-20-2017,53.98
Apr-21-2017,54.09
Apr-24-2017,53.98
Apr-25-2017,53.63
Apr-26-2017,53.65
Apr-27-2017,53.48
Apr-28-2017,53.68
May-01-2017,54.11
May-02-2017,54.78
May-03-2017,54.70
May-04-2017,58.05
May-05-2017,60.44
May-08-2017,60.05
May-09-2017,60.08
May-10-2017,60.48
May-11-2017,60.31
May-12-2017,60.72
May-15-2017,61.93
May-16-2017,61.98
May-17-2017,60.23
May-18-2017,59.69
May-19-2017,60.34
May-22-2017,60.44
May-23-2017,60.22
May-24-2017,61.96
May-25-2017,64.15
May-26-2017,63.56
May-30-2017,62.52
May-31-2017,62.01
Jun-01-2017,62.43
Jun-02-2017,62.68
Jun-05-2017,62.35
Jun-06-2017,61.97
Jun-07-2017,61.92
Jun-08-2017,63.19
Jun-09-2017,60.30
Jun-12-2017,60.22
Jun-13-2017,62.15
Jun-14-2017,62.12
Jun-15-2017,61.80
Jun-16-2017,62.05
Jun-19-2017,63.78
Jun-20-2017,62.89
Jun-21-2017,64.94
Jun-22-2017,65.72
Jun-23-2017,66.50
Jun-26-2017,66.05
Jun-27-2017,64.47
Jun-28-2017,64.13
Jun-29-2017,61.77
Jun-30-2017,61.27
Jul-03-2017,61.16
Jul-05-2017,62.05
Jul-06-2017,61.27
Jul-07-2017,62.54
Jul-10-2017,62.27
Jul-11-2017,62.92
Jul-12-2017,64.47
Jul-13-2017,63.63
Jul-14-2017,62.89
Jul-17-2017,64.03
Jul-18-2017,63.76
Jul-19-2017,64.46
Jul-20-2017,64.43
Jul-21-2017,63.77
Jul-24-2017,64.45
Jul-25-2017,64.93
Jul-26-2017,64.98
Jul-27-2017,64.87
Jul-28-2017,64.85
Jul-31-2017,64.45
Aug-01-2017,65.47
Aug-02-2017,64.02
Aug-03-2017,69.80
Aug-04-2017,71.31
Aug-07-2017,70.62
Aug-08-2017,69.94
Aug-09-2017,69.86
Aug-10-2017,67.97
Aug-11-2017,68.67
Aug-14-2017,70.36
Aug-15-2017,70.30
Aug-16-2017,70.82
Aug-17-2017,69.32
Aug-18-2017,69.74
Aug-21-2017,70.27
Aug-22-2017,71.64
