Dates,"Amazon.com, Inc. (NasdaqGS:AMZN) - Share Pricing"
Apr-08-2003,26.52
Apr-09-2003,25.06
Apr-10-2003,25.67
Apr-11-2003,25.75
Apr-14-2003,25.05
Apr-15-2003,25.13
Apr-16-2003,24.38
Apr-17-2003,24.99
Apr-21-2003,25.25
Apr-22-2003,25.58
Apr-23-2003,25.43
Apr-24-2003,25.12
Apr-25-2003,28.97
Apr-28-2003,29.11
Apr-29-2003,28.89
Apr-30-2003,28.69
May-01-2003,28.66
May-02-2003,29.43
May-05-2003,29.96
May-06-2003,30.88
May-07-2003,30.70
May-08-2003,30.45
May-09-2003,30.97
May-12-2003,31.70
May-13-2003,32.95
May-14-2003,32.60
May-15-2003,32.63
May-16-2003,33.05
May-19-2003,31.56
May-20-2003,31.48
May-21-2003,31.75
May-22-2003,33.00
May-23-2003,32.72
May-27-2003,34.85
May-28-2003,34.86
May-29-2003,35.55
May-30-2003,35.89
Jun-02-2003,35.40
Jun-03-2003,35.23
Jun-04-2003,35.39
Jun-05-2003,35.52
Jun-06-2003,33.35
Jun-09-2003,33.68
Jun-10-2003,34.07
Jun-11-2003,34.65
Jun-12-2003,35.20
Jun-13-2003,34.13
Jun-16-2003,35.84
Jun-17-2003,35.84
Jun-18-2003,35.85
Jun-19-2003,35.50
Jun-20-2003,35.04
Jun-23-2003,35.58
Jun-24-2003,35.40
Jun-25-2003,35.39
Jun-26-2003,36.72
Jun-27-2003,36.30
Jun-30-2003,36.32
Jul-01-2003,37.25
Jul-02-2003,37.85
Jul-03-2003,37.68
Jul-07-2003,39.05
Jul-08-2003,40.51
Jul-09-2003,40.50
Jul-10-2003,38.25
Jul-11-2003,37.65
Jul-14-2003,39.27
Jul-15-2003,38.43
Jul-16-2003,37.68
Jul-17-2003,36.32
Jul-18-2003,34.98
Jul-21-2003,35.33
Jul-22-2003,34.87
Jul-23-2003,40.11
Jul-24-2003,41.31
Jul-25-2003,41.60
Jul-28-2003,42.08
Jul-29-2003,41.39
Jul-30-2003,40.66
Jul-31-2003,41.64
Aug-01-2003,40.03
Aug-04-2003,39.65
Aug-05-2003,38.67
Aug-06-2003,38.94
Aug-07-2003,39.01
Aug-08-2003,39.15
Aug-11-2003,38.93
Aug-12-2003,39.85
Aug-13-2003,40.21
Aug-14-2003,40.30
Aug-15-2003,40.10
Aug-18-2003,43.02
Aug-19-2003,43.57
Aug-20-2003,43.76
Aug-21-2003,45.70
Aug-22-2003,45.22
Aug-25-2003,45.85
Aug-26-2003,45.93
Aug-27-2003,45.88
Aug-28-2003,45.94
Aug-29-2003,46.32
Sep-02-2003,47.33
Sep-03-2003,46.19
Sep-04-2003,47.29
Sep-05-2003,46.52
Sep-08-2003,47.28
Sep-09-2003,46.68
Sep-10-2003,46.22
Sep-11-2003,45.19
Sep-12-2003,45.68
Sep-15-2003,45.51
Sep-16-2003,46.24
Sep-17-2003,46.16
Sep-18-2003,47.89
Sep-19-2003,47.58
Sep-22-2003,47.47
Sep-23-2003,50.44
Sep-24-2003,49.61
Sep-25-2003,50.05
Sep-26-2003,48.56
Sep-29-2003,49.86
Sep-30-2003,48.43
Oct-01-2003,49.12
Oct-02-2003,50.09
Oct-03-2003,52.89
Oct-06-2003,54.15
Oct-07-2003,54.91
Oct-08-2003,55.70
Oct-09-2003,57.86
Oct-10-2003,58.06
Oct-13-2003,58.30
Oct-14-2003,59.91
Oct-15-2003,58.54
Oct-16-2003,59.91
Oct-17-2003,59.69
Oct-20-2003,59.59
Oct-21-2003,59.35
Oct-22-2003,54.03
Oct-23-2003,54.32
Oct-24-2003,54.51
Oct-27-2003,54.82
Oct-28-2003,56.73
Oct-29-2003,56.69
Oct-30-2003,55.83
Oct-31-2003,54.43
Nov-03-2003,56.74
Nov-04-2003,56.86
Nov-05-2003,56.74
Nov-06-2003,54.99
Nov-07-2003,54.31
Nov-10-2003,51.98
Nov-11-2003,52.23
Nov-12-2003,54.13
Nov-13-2003,54.80
Nov-14-2003,52.45
Nov-17-2003,50.36
Nov-18-2003,48.50
Nov-19-2003,49.53
Nov-20-2003,48.85
Nov-21-2003,48.58
Nov-24-2003,51.33
Nov-25-2003,52.47
Nov-26-2003,52.96
Nov-28-2003,53.97
Dec-01-2003,54.65
Dec-02-2003,53.93
Dec-03-2003,51.51
Dec-04-2003,51.80
Dec-05-2003,51.56
Dec-08-2003,51.08
Dec-09-2003,49.34
Dec-10-2003,49.20
Dec-11-2003,50.80
Dec-12-2003,50.99
Dec-15-2003,50.41
Dec-16-2003,49.50
Dec-17-2003,47.58
Dec-18-2003,48.75
Dec-19-2003,49.24
Dec-22-2003,49.89
Dec-23-2003,52.48
Dec-24-2003,53.32
Dec-26-2003,53.47
Dec-29-2003,53.47
Dec-30-2003,52.83
Dec-31-2003,52.62
Jan-02-2004,51.90
Jan-05-2004,53.27
Jan-06-2004,53.03
Jan-07-2004,51.90
Jan-08-2004,50.24
Jan-09-2004,51.59
Jan-12-2004,52.95
Jan-13-2004,54.91
Jan-14-2004,55.80
Jan-15-2004,56.18
Jan-16-2004,55.72
Jan-20-2004,56.61
Jan-21-2004,56.20
Jan-22-2004,57.18
Jan-23-2004,57.11
Jan-26-2004,57.03
Jan-27-2004,55.74
Jan-28-2004,51.96
Jan-29-2004,49.22
Jan-30-2004,50.40
Feb-02-2004,48.27
Feb-03-2004,44.94
Feb-04-2004,45.39
Feb-05-2004,46.04
Feb-06-2004,46.35
Feb-09-2004,45.86
Feb-10-2004,45.59
Feb-11-2004,47.14
Feb-12-2004,47.06
Feb-13-2004,46.38
Feb-17-2004,45.53
Feb-18-2004,44.87
Feb-19-2004,44.65
Feb-20-2004,45.17
Feb-23-2004,43.97
Feb-24-2004,42.32
Feb-25-2004,42.94
Feb-26-2004,43.65
Feb-27-2004,43.01
Mar-01-2004,42.97
Mar-02-2004,42.01
Mar-03-2004,43.17
Mar-04-2004,44.39
Mar-05-2004,44.09
Mar-08-2004,43.50
Mar-09-2004,42.71
Mar-10-2004,41.55
Mar-11-2004,41.28
Mar-12-2004,42.44
Mar-15-2004,41.08
Mar-16-2004,42.13
Mar-17-2004,42.80
Mar-18-2004,43.01
